Type Name,Name,Link,Dùng Cho Trục,Vật Liệu,Bề Rộng Rãnh Sử Dụng,Đường Kính Rãnh Sử Dụng,Đường Kính Trong,Độ Dày,Tiêu Chuẩn,Thương Hiệu,Đường Kính Ngoài,Số Răng,Dùng Cho Lỗ,Số Lượng,Size Ren,Bước Ren,Chiều Dài Sau Khi Lắp,Số Vòng Xoắn,Đường Kính Lỗ Khoan,Hệ Kích Thước,Phân Loại,Chiều Cao,Đường Kính,Khuyên Dùng,Độ Dày Tấm Làm Việc,Đường Kính Chân,Chiều Cao Chân,Xử Lý Bề Mặt,Chiều Ren,Đường Kính Đầu,Đường Kính Thân,Tổng Chiều Dài,Chiều Dài Không Ren,Chiều Dài,Loại Ren
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D7x0.8 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d7x08-50pcspack.6YNgY,7 mm,Thép 65Mn,0.9 mm,6.7 mm,6.5 mm,0.8 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D8x0.8,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d8x08.P5Z8,8 mm,Thép 65Mn,0.9 mm,7.6 mm,7.4 mm,0.8 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D8x0.8 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d8x08-50pcspack.l10zn,8 mm,Thép 65Mn,0.9 mm,7.6 mm,7.4 mm,0.8 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D9x1.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d9x10.5xBD,9 mm,Thép 65Mn,1.1 mm,8.6 mm,8.4 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D9x1.0 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d9x10-50pcspack.bqlQP,9 mm,Thép 65Mn,1.1 mm,8.6 mm,8.4 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D10x1.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d10x10.p3e3,10 mm,Thép 65Mn,1.1 mm,9.6 mm,9.3 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D10x1.0 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d10x10-50pcspack.ZY1mP,10 mm,Thép 65Mn,1.1 mm,9.6 mm,9.3 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D11x1.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d11x10.d8g4,11 mm,Thép 65Mn,1.1 mm,10.5 mm,10.2 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D11x1.0 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d11x10-50pcspack.B6EQp,11 mm,Thép 65Mn,1.1 mm,10.5 mm,10.2 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D12x1.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d12x10.bjrN,12 mm,Thép 65Mn,1.1 mm,11.5 mm,11 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D12x1.0 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d12x10-50pcspack.54NDa,12 mm,Thép 65Mn,1.1 mm,11.5 mm,11 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D13x1.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d13x10.RwR1,13 mm,Thép 65Mn,1.1 mm,12.4 mm,11.9 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D13x1.0 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d13x10-50pcspack.jxyJ8,13 mm,Thép 65Mn,1.1 mm,12.4 mm,11.9 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D14x1.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d14x10.P1e8,14 mm,Thép 65Mn,1.1 mm,13.4 mm,12.9 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D14x1.0 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d14x10-50pcspack.QWne5,14 mm,Thép 65Mn,1.1 mm,13.4 mm,12.9 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D15x1.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d15x10.no3Q,15 mm,Thép 65Mn,1.1 mm,14.3 mm,13.8 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D15x1.0 (25pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d15x10-25pcspack.8LN2j,15 mm,Thép 65Mn,1.1 mm,14.3 mm,13.8 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D16x1.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d16x10.ngJA,16 mm,Thép 65Mn,1.1 mm,15.2 mm,14.7 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D16x1.0 (25pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d16x10-25pcspack.y9pRD,16 mm,Thép 65Mn,1.1 mm,15.2 mm,14.7 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D17x1.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d17x10.jWwA,17 mm,Thép 65Mn,1.1 mm,16.2 mm,15.7 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D17x1.0 (25pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d17x10-25pcspack.npG1R,17 mm,Thép 65Mn,1.1 mm,16.2 mm,15.7 mm,1 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D18x1.2,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d18x12.ZJzP,18 mm,Thép 65Mn,1.3 mm,17 mm,16.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D18x1.2 (25pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d18x12-25pcspack.0DNw4,18 mm,Thép 65Mn,1.3 mm,17 mm,16.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D19x1.2,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d19x12.Mq8m,19 mm,Thép 65Mn,1.3 mm,18 mm,17.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D19x1.2 (25pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d19x12-25pcspack.6YNga,19 mm,Thép 65Mn,1.3 mm,18 mm,17.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D20x1.2,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d20x12.ey00,20 mm,Thép 65Mn,1.3 mm,19 mm,18.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D20x1.2 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d20x12-10pcspack.GzN6x,20 mm,Thép 65Mn,1.3 mm,19 mm,18.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D20x1.75,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d20x175.9RbM,20 mm,Thép 65Mn,1.85 mm,19 mm,18.5 mm,1.75 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D20x1.75 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d20x175-10pcspack.WAqvl,20 mm,Thép 65Mn,1.85 mm,19 mm,18.5 mm,1.75 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D21x1.2,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d21x12.nogR,21 mm,Thép 65Mn,1.3 mm,20 mm,19.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D21x1.2 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d21x12-10pcspack.JMZJl,21 mm,Thép 65Mn,1.3 mm,20 mm,19.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D22x1.2,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d22x12.p3zg,22 mm,Thép 65Mn,1.3 mm,21 mm,20.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D22x1.2 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d22x12-10pcspack.qOqeL,22 mm,Thép 65Mn,1.3 mm,21 mm,20.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D23x1.2,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d23x12.8DZz,23 mm,Thép 65Mn,1.3 mm,22 mm,21.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D23x1.2 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d23x12-10pcspack.z9dmQ,23 mm,Thép 65Mn,1.3 mm,22 mm,21.5 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D24x1.2,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d24x12.4eww,24 mm,Thép 65Mn,1.3 mm,22.9 mm,22.2 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D24x1.2 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d24x12-10pcspack.oQW3a,24 mm,Thép 65Mn,1.3 mm,22.9 mm,22.2 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D25x1.2,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d25x12.Mqx5,25 mm,Thép 65Mn,1.3 mm,23.9 mm,23.2 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D25x1.2 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d25x12-10pcspack.1KNev,25 mm,Thép 65Mn,1.3 mm,23.9 mm,23.2 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D26x1.2,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d26x12.DQ54,26 mm,Thép 65Mn,1.3 mm,24.9 mm,24.2 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D26x1.2 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d26x12-10pcspack.3LNpn,26 mm,Thép 65Mn,1.3 mm,24.9 mm,24.2 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D27x1.2,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d27x12.eyAb,27 mm,Thép 65Mn,1.3 mm,25.6 mm,24.9 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D27x1.2 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d27x12-10pcspack.wRevo,27 mm,Thép 65Mn,1.3 mm,25.6 mm,24.9 mm,1.2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D28x1.5,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d28x15.Q3o5,28 mm,Thép 65Mn,1.6 mm,26.6 mm,25.9 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D28x1.5 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d28x15-10pcspack.e6Bnr,28 mm,Thép 65Mn,1.6 mm,26.6 mm,25.9 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D29x1.5,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d29x15.eyLe,29 mm,Thép 65Mn,1.6 mm,27.6 mm,26.9 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D29x1.5 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d29x15-10pcspack.xKx2x,29 mm,Thép 65Mn,1.6 mm,27.6 mm,26.9 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D30x1.5,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d30x15.xvQg,30 mm,Thép 65Mn,1.6 mm,28.6 mm,27.9 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D30x1.5 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d30x15-10pcspack.p2Jwg,30 mm,Thép 65Mn,1.6 mm,28.6 mm,27.9 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D30x2.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d30x20.KMQ9,30 mm,Thép 65Mn,2.15 mm,28.6 mm,27.9 mm,2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D30x2.0 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d30x20-10pcspack.d6Zya,30 mm,Thép 65Mn,2.15 mm,28.6 mm,27.9 mm,2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D31x1.5,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d31x15.OovM,31 mm,Thép 65Mn,1.6 mm,29.3 mm,28.6 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D31x1.5 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d31x15-10pcspack.D3Ny4,31 mm,Thép 65Mn,1.6 mm,29.3 mm,28.6 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D32x1.5,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d32x15.4eYm,32 mm,Thép 65Mn,1.6 mm,30.3 mm,29.6 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D32x1.5 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d32x15-10pcspack.g4j6Z,32 mm,Thép 65Mn,1.6 mm,30.3 mm,29.6 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D32x2.0,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d32x20.pWWW2,32 mm,Thép 65Mn,2.15 mm,30.3 mm,29.6 mm,2 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D33x1.5,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d33x15.8D3D,33 mm,Thép 65Mn,1.6 mm,31.3 mm,30.5 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D33x1.5 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d33x15-10pcspack.vdwgD,33 mm,Thép 65Mn,1.6 mm,31.3 mm,30.5 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D34x1.5,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d34x15.mz6v,34 mm,Thép 65Mn,1.6 mm,32.2 mm,31.5 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D34x1.5 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d34x15-10pcspack.29Nxx,34 mm,Thép 65Mn,1.6 mm,32.2 mm,31.5 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D35x1.5,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d35x15.BdMp,35 mm,Thép 65Mn,1.6 mm,33 mm,32.2 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D35x1.5 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d35x15-10pcspack.Rl0xB,35 mm,Thép 65Mn,1.6 mm,33 mm,32.2 mm,1.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D36x1.75 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d36x175-10pcspack.m26oY,36 mm,Thép 65Mn,1.85 mm,34 mm,33.2 mm,1.75 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D37x1.75,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d37x175.23Kq,37 mm,Thép 65Mn,1.85 mm,35 mm,34.2 mm,1.75 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D37x1.75 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d37x175-10pcspack.45YdG,37 mm,Thép 65Mn,1.85 mm,35 mm,34.2 mm,1.75 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D38x1.75,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d38x175.P1LN,38 mm,Thép 65Mn,1.85 mm,36 mm,35.2 mm,1.75 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D38x1.75 (10pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d38x175-10pcspack.KpBqJ,38 mm,Thép 65Mn,1.85 mm,36 mm,35.2 mm,1.75 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D38x2.5,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d38x25.lY66,38 mm,Thép 65Mn,2.65 mm,36 mm,35.2 mm,2.5 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
